tau_ps,measurement_frequency_ps_inv,survival_probability,survival_rate_ps_inv,survival_regime,overlap_rate_ps_inv,overlap_regime
0.001,1000,0.999887777545,0.112228752133,zeno,0.720646803179,zeno
0.00104372909244,958.103024285,0.999878501047,0.116415586297,zeno,0.74739736027,zeno
0.0010893704184,917.961405144,0.999868490376,0.120728698129,zeno,0.774910471174,zeno
0.00113700759813,879.501598446,0.999857691487,0.125169470867,zeno,0.803205113914,zeno
0.00118672790849,842.653141334,0.999846046854,0.129739089092,zeno,0.832304332433,zeno
0.0012386224429,807.348523136,0.999833495296,0.134438519107,zeno,0.862235971873,zeno
0.0012927862782,773.523061668,0.999819971816,0.139268488691,zeno,0.893033340984,zeno
0.00134931864887,741.114784739,0.999805407427,0.144229466303,zeno,0.92473572859,zeno
0.00140832312879,710.064316601,0.999789728991,0.149321639863,zeno,0.957388686888,zeno
0.00146990782108,680.314769172,0.99977285905,0.154544895211,zeno,0.991043984155,zeno
0.00153418555606,651.811637809,0.999754715666,0.159898794404,zeno,1.0257591269,zeno
0.00160127409806,624.502701449,0.999735212262,0.165382554007,zeno,1.06159636108,zeno
0.00167129636111,598.337926933,0.999714257472,0.170995023571,zeno,1.09862108894,zeno
0.00174438063418,573.269377339,0.999691754991,0.176734664504,zeno,1.1368996876,zeno
0.00182066081618,549.251124158,0.999667603447,0.182599529563,zeno,1.17649679109,zeno
0.00190027666131,526.239163148,0.999641696269,0.188587243236,zeno,1.21747220012,zeno
0.0019833740351,504.191333709,0.999613921573,0.194694983268,zeno,1.25987770896,zeno
0.00207010518162,483.067241645,0.999584162062,0.200919463657,zeno,1.3037542714,zeno
0.00216062900246,462.828185153,0.999552294939,0.207256919413,zeno,1.34913004571,zeno
0.00225511134784,443.43708392,0.999518191836,0.213703093439,zeno,1.39601992247,zeno
0.00235372532043,424.858411184,0.99948171876,0.220253225868,zeno,1.44442710337,zeno
0.00245665159254,407.058128648,0.999442736056,0.226902046224,zeno,1.49434711133,zeno
0.00256407873712,390.003624118,0.999401098394,0.233643768789,zeno,1.54577423328,zeno
0.00267620357324,373.663651749,0.999356654765,0.240472091518,zeno,1.59870982026,zeno
0.00279323152668,358.008274806,0.999309248508,0.247380198903,zeno,1.65317115416,zeno
0.00291537700631,343.008810811,0.999258717348,0.254360769101,zeno,1.70919888436,zeno
0.00304286379691,328.637778995,0.999204893455,0.261405985696,zeno,1.76686059729,zeno
0.00317592546917,314.868849949,0.999147603516,0.268507554359,zeno,1.82624823373,zeno
0.00331480580759,301.676797389,0.999086668829,0.275656724703,zeno,1.88746812914,zeno
0.00345975925716,289.037451935,0.999021905401,0.28284431752,zeno,1.95062454724,zeno
0.00361105138954,276.927656831,0.998953124056,0.290060757558,zeno,2.01580042635,zeno
0.00376895938955,265.325225518,0.99888013055,0.297296111921,zeno,2.08304178497,zeno
0.00393377256309,254.208900988,0.998802725682,0.304540134078,zeno,2.15235337367,zeno
0.00410579286714,243.558316837,0.998720705398,0.311782313386,zeno,2.22371108584,zeno
0.00428533546296,233.353959951,0.998633860882,0.319011929917,zeno,2.29709049151,zeno
0.00447272929355,223.577134758,0.998541978632,0.326218114278,zeno,2.37250181872,zeno
0.00466831768628,214.209928972,0.998444840493,0.333389911981,zeno,2.4500138751,zeno
0.00487245898192,205.23518078,0.998342223675,0.340516351811,zeno,2.52974904855,zeno
0.00508552719115,196.636447395,0.998233900706,0.347586517499,zeno,2.61184367232,zeno
0.00530791267979,188.397974934,0.998119639347,0.3545896219,zeno,2.69639086481,zeno
0.00554002288402,180.504669554,0.997999202438,0.361515082742,zeno,2.78340361799,zeno
0.00578228305683,172.942069797,0.997872347676,0.368352598935,zeno,2.87283410897,zeno
0.00603513704713,165.696320099,0.99773882732,0.375092226294,zeno,2.96464872228,zeno
0.00629904811295,158.754145399,0.99759838781,0.381724451501,zeno,3.0589039374,zeno
0.00657449977015,152.102826825,0.997450769301,0.388240263057,zeno,3.15574606504,zeno
0.00686199667834,145.730178383,0.997295705104,0.39463121797,zeno,3.25531382798,zeno
0.0071620655654,139.624524639,0.997132921039,0.400889502919,zeno,3.35763186147,zeno
0.00747525619257,133.774679321,0.996962134691,0.407007988716,zeno,3.4626272184,zeno
0.00780214236162,128.16992483,0.99678305458,0.412980276936,zeno,3.57027796805,zeno
0.00814332296617,122.799992602,0.996595379244,0.418800737745,zeno,3.68071023906,zeno
0.00849942308892,117.655044294,0.996398796249,0.424464538084,zeno,3.79407963165,zeno
0.00887109514685,112.72565376,0.996192981123,0.429967659595,zeno,3.91038488745,zeno
0.00925902008656,108.002789782,0.99597759624,0.435306905884,zeno,4.02953099511,zeno
0.00966390863182,103.477799522,0.995752289653,0.440479898956,zeno,4.1515733117,zeno
0.0100865025857,99.1423926682,0.995516693897,0.445485064955,zeno,4.27668282149,zeno
0.0105275761897,94.9886262503,0.995270424777,0.450321609585,zeno,4.40485614229,zeno
0.010987937542,91.008890083,0.99501308015,0.45498948386,zeno,4.53599009891,zeno
0.0114684300785,87.1958928254,0.994744238718,0.459489341102,zeno,4.67019454955,zeno
0.0119699341175,83.5426486213,0.994463458848,0.463822486317,zeno,4.80757559557,zeno
0.012493368473,80.0424643008,0.994170277418,0.467990819252,zeno,4.94801182844,zeno
0.0130396921379,76.6889271178,0.993864208718,0.47199677263,zeno,5.09155218322,zeno
0.0136099060407,73.4758930008,0.993544743387,0.475843247071,zeno,5.23830391098,zeno
0.0142050548801,70.3974752961,0.993211347409,0.479533544323,zeno,5.38813422787,zeno
0.014826229038,67.4480339832,0.99286346116,0.483071300322,zeno,5.54112766714,zeno
0.0154745665782,64.6221653414,0.992500498504,0.486460419568,zeno,5.69728605515,zeno
0.0161512553305,61.9146920494,0.992121845924,0.489705012126,zeno,5.85652177029,zeno
0.0168575350679,59.3206537003,0.991726861702,0.49280933441,zeno,6.01893031186,zeno
0.0175946997771,56.8352977128,0.991314875109,0.495777734658,zeno,6.18437300709,zeno
0.0183641000301,54.4540706248,0.990885185617,0.498614603791,zeno,6.35292745288,zeno
0.0191671454579,52.1726097502,0.990437062112,0.50132433209,zeno,6.52446135345,zeno
0.0200053073334,49.9867351865,0.989969742093,0.503911271888,zeno,6.69901816523,zeno
0.0208801212671,47.8924421563,0.989482430857,0.506379706251,zeno,6.87646287168,zeno
0.0217931900201,45.8858936704,0.988974300651,0.508733823416,zeno,7.05680930079,zeno
0.022746186441,43.9634134976,0.988444489788,0.510977696612,zeno,7.239929163,zeno
0.0237408565305,42.12147943,0.987892101724,0.513115268762,zeno,7.42576987239,zeno
0.0247790226403,40.3567168292,0.987316204086,0.515150341476,zeno,7.61425184982,zeno
0.0258625868119,38.6658924443,0.986715827655,0.517086567724,zeno,7.80524040069,zeno
0.0269935342613,37.0459084876,0.986089965309,0.518927447567,zeno,7.99864777579,zeno
0.0281739370163,35.4937969593,0.985437570912,0.520676326355,zeno,8.19435684532,zeno
0.0294059577124,34.0067142101,0.984757558175,0.522336394842,zeno,8.39221650942,zeno
0.0306918535555,32.5819357307,0.984048799476,0.523910690746,zeno,8.59207722408,zeno
0.0320339804567,31.2168511606,0.983310124649,0.525402101342,zeno,8.79378414934,zeno
0.0334347973493,29.9089595056,0.982540319759,0.526813366761,zeno,8.99716480723,zeno
0.0348968706933,28.6558645556,0.981738125841,0.528147083717,zeno,9.20202931759,zeno
0.0364228791776,27.4552704942,0.980902237651,0.529405709478,zeno,9.40817322139,zeno
0.0380156186281,26.3049776931,0.980031302386,0.530591565918,zeno,9.61537804851,zeno
0.0396780071292,25.2028786815,0.979123918426,0.53170684355,zeno,9.82341081368,zeno
0.0414130903707,24.1469542854,0.978178634064,0.532753605475,zeno,10.0320235189,zeno
0.0432240472277,23.1352699281,0.977193946266,0.533733791187,zeno,10.2409522107,zeno
0.0451141955845,22.1659720858,0.976168299434,0.534649220228,zeno,10.449914863,zeno
0.0470869984136,21.2372848916,0.975100084206,0.535501595653,zeno,10.6586116133,zeno
0.0491460701199,20.3475068823,0.973987636288,0.536292507332,zeno,10.8667327476,zeno
0.0512951831631,19.4950078806,0.972829235323,0.537023435053,zeno,11.0739543504,zeno
0.0535382749694,18.6782260088,0.971623103818,0.537695751457,zeno,11.2799213382,zeno
0.0558794551445,17.8956648273,0.970367406124,0.538310724795,zeno,11.4842807063,zeno
0.058323013004,17.1458905927,0.969060247491,0.538869521517,zeno,11.6866496289,zeno
0.0608734254309,16.4275296309,0.967699673204,0.539373208703,zeno,11.886642161,zeno
0.0635353650787,15.7392658209,0.966283667809,0.539822756329,zeno,12.0838446696,zeno
0.0663137089313,15.079838183,0.96481015445,0.540219039392,zeno,12.2778406537,zeno
0.0692135472391,14.4480385689,0.963276994324,0.540562839887,zeno,12.4681964029,zeno
0.0722401928444,13.8427094478,0.961681986274,0.540854848648,zeno,12.6544643274,zeno
0.0753991909151,13.2627417863,0.960022866528,0.54109566706,zeno,12.8361869173,zeno
0.0786963291044,12.7070730157,0.958297308614,0.541285808641,zeno,13.0128972409,zeno
0.0821376481544,12.1746850862,0.956502923462,0.541425700515,zeno,13.1841205227,zeno
0.0857294529633,11.6646026008,0.954637259705,0.541515684761,zeno,13.3493757754,zeno
0.0894783241367,11.1758910289,0.952697804223,0.541556019671,anti-zeno,13.5081743995,zeno
0.0933911300441,10.7076549939,0.950681982921,0.541546880896,anti-zeno,13.6600280598,zeno
0.0974750394028,10.2590366326,0.948587161798,0.541488362513,anti-zeno,13.8044475504,zeno
0.101737534411,9.82921402397,0.946410648298,0.541380477995,anti-zeno,13.9409456518,zeno
0.106186424458,9.41739968271,0.944149693002,0.541223161114,anti-zeno,14.0690382859,zeno
0.110829860429,9.02283911691,0.941801491659,0.54101626677,anti-zeno,14.1882509462,zeno
0.115676349641,8.64480944555,0.939363187603,0.540759571758,anti-zeno,14.2981189436,zeno
0.120734771427,8.28261807415,0.936831874584,0.540452775488,anti-zeno,14.3981906901,zeno
0.126014393407,7.93560142584,0.934204600028,0.540095500653,anti-zeno,14.4880315288,zeno
0.131524888465,7.60312372562,0.93147836878,0.539687293869,anti-zeno,14.567228756,zeno
0.137276352471,7.28457583553,0.92865014734,0.539227626288,anti-zeno,14.6353901192,zeno
0.143279322778,6.97937413865,0.925716868646,0.538715894201,anti-zeno,14.6921535643,zeno
0.149544797528,6.68695946986,0.922675437415,0.538151419634,anti-zeno,14.7371863327,zeno
0.156084255803,6.40679609135,0.919522736091,0.53753345096,anti-zeno,14.7701900611,zeno
0.162909678653,6.1383707111,0.916255631426,0.53686116353,anti-zeno,14.7909042604,zeno
0.17003357105,5.88119154248,0.912870981727,0.536133660346,anti-zeno,14.7991083849,anti-zeno
0.177468984797,5.63478740325,0.9093656448,0.535349972784,anti-zeno,14.7946277801,anti-zeno
0.185229542438,5.39870685226,0.905736486617,0.534509061386,anti-zeno,14.7773331908,anti-zeno
0.193329462221,5.17251736238,0.901980390745,0.533609816742,anti-zeno,14.7471455255,anti-zeno
0.201783584146,4.95580452806,0.898094268546,0.532651060469,anti-zeno,14.7040379355,anti-zeno
0.21060739715,4.7481713061,0.894075070181,0.531631546327,anti-zeno,14.6480369505,anti-zeno
0.219817067488,4.5492372882,0.889919796432,0.530549961464,anti-zeno,14.5792247123,anti-zeno
0.229429468352,4.35863800402,0.885625511358,0.52940492785,anti-zeno,14.4977392752,anti-zeno
0.239462210782,4.17602425341,0.881189355786,0.528195003881,anti-zeno,14.4037758137,anti-zeno
0.249933675933,4.00106146668,0.876608561647,0.526918686221,anti-zeno,14.2975857549,anti-zeno
0.260863048751,3.83342909158,0.871880467149,0.525574411875,anti-zeno,14.1794764361,anti-zeno
0.272270353124,3.67282000602,0.867002532762,0.524160560541,anti-zeno,14.0498094139,anti-zeno
0.284176488564,3.51893995543,0.861972358012,0.522675457266,anti-zeno,13.9089987485,anti-zeno
0.296603268501,3.37150701357,0.856787699029,0.521117375437,anti-zeno,13.7575077884,anti-zeno
0.309573460247,3.2302510661,0.851446486817,0.519484540138,anti-zeno,13.5958462618,anti-zeno
0.323110826707,3.09491331563,0.845946846184,0.51777513191,anti-zeno,13.4245664071,anti-zeno
0.337240169916,2.96524580761,0.840287115253,0.515987290949,anti-zeno,13.2442578689,anti-zeno
0.35198737648,2.84101097602,0.834465865481,0.514119121782,anti-zeno,13.0555432685,anti-zeno
0.367379465004,2.72198120815,0.828481922069,0.512168698446,anti-zeno,12.8590726909,anti-zeno
0.383444635589,2.60793842757,0.822334384656,0.510134070226,anti-zeno,12.6555174908,anti-zeno
0.400212321504,2.49867369461,0.816022648141,0.508013267969,anti-zeno,12.4455648867,anti-zeno
0.417713243106,2.39398682351,0.809546423507,0.505804311028,anti-zeno,12.229911187,anti-zeno
0.435979464127,2.2936860157,0.802905758442,0.503505214867,anti-zeno,12.0092561042,anti-zeno
0.455044450415,2.1975875084,0.796101057587,0.501113999347,anti-zeno,11.7842963902,anti-zeno
0.474943131251,2.10551523793,0.789133102186,0.498628697754,anti-zeno,11.5557199443,anti-zeno
0.495711963341,2.01730051714,0.782003068924,0.496047366564,anti-zeno,11.3242004596,anti-zeno
0.517388997609,1.93278172636,0.774712547689,0.493368095996,anti-zeno,11.090391912,anti-zeno
0.540013948912,1.85180401731,0.767263558016,0.490589021356,anti-zeno,10.8549242848,anti-zeno
0.563628268802,1.77421902937,0.759658563928,0.48770833518,anti-zeno,10.6183991714,anti-zeno
0.58827522147,1.69988461778,0.75190048689,0.484724300199,anti-zeno,10.3813865915,anti-zeno
0.613999963009,1.62866459323,0.743992716593,0.481635263092,anti-zeno,10.144422173,anti-zeno
0.640849624149,1.56042847232,0.735939119257,0.478439669029,anti-zeno,9.90800504036,anti-zeno
0.668873396603,1.49505123851,0.727744043179,0.475136076962,anti-zeno,9.67259657951,anti-zeno
0.698122623193,1.43241311308,0.719412321222,0.471723175622,anti-zeno,9.43861964828,anti-zeno
0.728650891916,1.37239933567,0.710949269972,0.468199800151,anti-zeno,9.2064586556,anti-zeno
0.760514134125,1.31489995403,0.702360685318,0.464564949293,anti-zeno,8.9764599364,anti-zeno
0.793770726997,1.25980962259,0.693652834205,0.460817803043,anti-zeno,8.74893292854,anti-zeno
0.828481600493,1.20702740943,0.68483244238,0.45695774062,anti-zeno,8.52415150649,anti-zeno
0.864710348985,1.15645661137,0.675906677955,0.452984358625,anti-zeno,8.30235581153,anti-zeno
0.902523347768,1.1080045768,0.666883130696,0.448897489209,anti-zeno,8.08375428643,anti-zeno
0.941989874671,1.06158253596,0.657769786971,0.444697218053,anti-zeno,7.86852587519,anti-zeno
0.983182236977,1.01710543823,0.648575000366,0.440383901946,anti-zeno,7.6568223154,anti-zeno
1.0261759039,0.974491796384,0.639307458066,0.435958185715,anti-zeno,7.44877046783,anti-zeno
1.07104964486,0.933663537257,0.629976143128,0.431421018233,anti-zeno,7.24447461303,anti-zeno
1.11788567379,0.894545858711,0.620590292903,0.426773667243,anti-zeno,7.04401860294,anti-zeno
1.16676979975,0.857067092592,0.611159353915,0.422017732673,anti-zeno,6.84746801059,anti-zeno
1.21779158418,0.821158573428,0.601692933591,0.417155158154,anti-zeno,6.65487203753,anti-zeno
1.27104450494,0.786754512619,0.592200749329,0.412188240418,anti-zeno,6.46626533557,anti-zeno
1.32662612759,0.75379187791,0.582692575468,0.40711963626,anti-zeno,6.28166960407,anti-zeno
1.38463828415,0.722210277907,0.573178188766,0.40195236678,anti-zeno,6.10109507401,anti-zeno
1.44518725968,0.691951851433,0.563667313112,0.396689818607,anti-zeno,5.92454184098,anti-zeno
1.50838398695,0.662961161517,0.554169564174,0.391335741865,anti-zeno,5.75200102368,anti-zeno
1.57434424974,0.635185093833,0.544694394787,0.38589424467,anti-zeno,5.58345582104,anti-zeno
1.64318889497,0.608572759382,0.535251041854,0.380369783989,anti-zeno,5.41888243361,anti-zeno
1.71504405406,0.583075401262,0.525848475563,0.374767152772,anti-zeno,5.25825089371,anti-zeno
1.79004137403,0.558646305335,0.516495351669,0.369091463315,anti-zeno,5.10152579433,anti-zeno
1.86831825875,0.535240714647,0.507199967588,0.363348126897,anti-zeno,4.9486669537,anti-zeno
1.95001812059,0.512815747424,0.497970222931,0.357542829831,anti-zeno,4.79962999446,anti-zeno
2.03529064324,0.491330318508,0.488813585079,0.351681506114,anti-zeno,4.65436686604,anti-zeno
2.12429205592,0.470745064085,0.479737060244,0.345770306999,anti-zeno,4.5128263135,anti-zeno
2.2171854196,0.451022269568,0.470747170372,0.339815567834,anti-zeno,4.37495431652,anti-zeno
2.31414092577,0.432125800493,0.461849936102,0.333823772655,anti-zeno,4.24069445379,anti-zeno
2.41533620823,0.414021036324,0.453050865856,0.32780151701,anti-zeno,4.10998826674,anti-zeno
2.52095666855,0.396674807019,0.444354950991,0.321755469613,anti-zeno,3.9827755595,anti-zeno
2.63119581574,0.380055332263,0.435766666813,0.315692333416,anti-zeno,3.85899469609,anti-zeno
2.74625562079,0.364132163237,0.427289979105,0.309618806724,anti-zeno,3.73858285497,anti-zeno
2.86634688669,0.348876126837,0.418928355724,0.30354154497,anti-zeno,3.62147626441,anti-zeno
2.99168963466,0.334259272223,0.410684782716,0.297467123749,anti-zeno,3.50761041333,anti-zeno
3.12251350725,0.320254819612,0.402561784307,0.291402003677,anti-zeno,3.39692025332,anti-zeno
3.25905818905,0.306837111212,0.394561446098,0.285352497555,anti-zeno,3.28934036878,anti-zeno
3.40157384586,0.293981564215,0.386685440758,0.279324740282,anti-zeno,3.18480513984,anti-zeno
3.550321583,0.281664625759,0.37893505549,0.273324661849,anti-zeno,3.08324888841,anti-zeno
3.70557392369,0.269863729774,0.371311220617,0.267357963663,anti-zeno,2.98460600949,anti-zeno
3.86761530834,0.258557255641,0.363814538623,0.261430098357,anti-zeno,2.88881108894,anti-zeno
4.03674261568,0.24772448858,0.3564453131,0.255546253141,anti-zeno,2.79579901501,anti-zeno
4.21326570667,0.237345581698,0.349203577108,0.249711336667,anti-zeno,2.70550507119,anti-zeno
4.39750799223,0.227401519626,0.342089120544,0.243929969286,anti-zeno,2.61786502952,anti-zeno
4.58980702572,0.217874083681,0.335101516233,0.238206476526,anti-zeno,2.53281522373,anti-zeno
4.79051512143,0.208745818488,0.328240144509,0.232544885541,anti-zeno,2.45029262387,anti-zeno
5,0.2,0.321504216198,0.226948924249,n/a,2.37023489684,n/a
